filename,author,title,year,stage_count,stage_word_count,stage_avg_words,word_count_l_p,stage_per_1k_words,stage_words_per_1k
wagner-tristan-und-isolde.xml,Wagner,Tristan und Isolde,1859,220,2160,9.8182,8218,26.7705,262.8377
wagner-voltaire-am-abend-seiner-apotheose.xml,Wagner,Voltaire am Abend seiner Apotheose,1778,68,1251,18.3971,3611,18.8313,346.4414
waldvogl-die-falschen-banknoten.xml,Waldvogl,Die falschen Banknoten,1787,359,1516,4.2228,13298,26.9965,114.0021
wallenrodt-noch-jemands-ankunft-auf-st-helena.xml,Wallenrodt,Noch Jemand's Ankunft auf St. Helena,1816,46,225,4.8913,2264,20.318,99.3816
wedekind-der-kammersaenger.xml,Wedekind,Der Kammersänger,1899,177,1130,6.3842,9044,19.571,124.9447
wedekind-der-marquis-von-keith.xml,Wedekind,Der Marquis von Keith,1900,424,3174,7.4858,20175,21.0161,157.3234
wedekind-die-buechse-der-pandora.xml,Wedekind,Die Büchse der Pandora,1902,338,3278,9.6982,16198,20.8668,202.3707
wedekind-die-zensur.xml,Wedekind,Die Zensur,1908,121,696,5.7521,7851,15.412,88.6511
wedekind-erdgeist.xml,Wedekind,Erdgeist,1895,720,4185,5.8125,15206,47.3497,275.2203
wedekind-franziska.xml,Wedekind,Franziska,1912,296,2108,7.1216,19770,14.9722,106.6262
wedekind-fritz-schwigerling.xml,Wedekind,Fritz Schwigerling oder Der Liebestrank,1899,522,2790,5.3448,12184,42.8431,228.9888
wedekind-fruehlings-erwachen.xml,Wedekind,Frühlings Erwachen,1891,102,798,7.8235,17073,5.9743,46.7405
wedekind-hidalla.xml,Wedekind,Hidalla oder Sein und Haben,1904,313,2199,7.0256,17189,18.2093,127.9307
wedekind-koenig-nicolo.xml,Wedekind,König Nicolo oder So ist das Leben,1902,313,2337,7.4665,16346,19.1484,142.9708
wedekind-musik.xml,Wedekind,Musik,1908,234,1653,7.0641,12623,18.5376,130.9514
wedekind-tod-und-teufel.xml,Wedekind,Tod und Teufel (Totentanz),1906,84,638,7.5952,7159,11.7335,89.1186
weidmann-der-dorfbarbier.xml,Weidmann,Der Dorfbarbier,,163,554,3.3988,5196,31.3703,106.6205
weidmann-der-selbstmord-oder-der-unglueckliche-lottospieler.xml,Weidmann,"Der Selbstmord, oder der unglückliche Lottospieler",1773,41,244,5.9512,6101,6.7202,39.9934
weidmann-johann-faust.xml,Weidmann,Johann Faust,1775,99,697,7.0404,13110,7.5515,53.1655
weise-masaniello.xml,Weise,Masaniello,1683,287,1894,6.5993,35798,8.0172,52.908
weisse-atreus-und-thyest.xml,Weiße,Atreus und Thyest,1766,133,638,4.797,13780,9.6517,46.299
weisse-die-jagd.xml,Weiße,Die Jagd,1770,317,1813,5.7192,19431,16.3141,93.3045
weissenthurn-das-manuscript.xml,Weißenthurn,Das Manuscript,1817,675,2212,3.277,17860,37.794,123.8522
weissenthurn-die-schwestern-st-janvier.xml,Weißenthurn,Die Schwestern St. Janvier,1821,348,1608,4.6207,13869,25.0919,115.942
weissenthurn-johann-herzog-von-finnland.xml,Weißenthurn,"Johann, Herzog von Finnland",1817,577,2367,4.1023,18741,30.7881,126.3006
weissenthurn-welche-ist-die-braut.xml,Weißenthurn,Welche ist die Braut!,1817,377,1519,4.0292,20863,18.0703,72.8083
weissenthurn-welcher-ist-der-braeutigam.xml,Weißenthurn,Welcher ist der Bräutigam?,1821,341,1133,3.3226,14420,23.6477,78.5714
werner-der-vierundzwanzigste-februar.xml,Werner,Der vierundzwanzigste Februar,1815,135,1131,8.3778,8874,15.213,127.451
wette-haensel-und-gretel.xml,Wette,Hänsel und Gretel,,223,1958,8.7803,4123,54.0868,474.8969
wezel-der-graf-von-wickham.xml,Wezel,Der Graf von Wickham,1774,533,2724,5.1107,23390,22.7875,116.46
widmann-der-widerspenstigen-zaehmung.xml,Widmann,Der Widerspenstigen Zähmung,,136,1006,7.3971,8177,16.632,123.028
widmann-maikaefer-komoedie.xml,Widmann,Maikäfer-Komödie,1897,324,1487,4.5895,20174,16.0603,73.7087
wieland-alceste.xml,Wieland,Alceste,1773,52,421,8.0962,5490,9.4718,76.6849
wieland-klementina-von-porretta.xml,Wieland,Klementina von Porretta,1760,172,1383,8.0407,21953,7.8349,62.9982
wieland-lady-johanna-gray.xml,Wieland,Lady Johanna Gray oder Der Triumf der Religion,1758,56,224,4.0,14180,3.9492,15.7969
wilbrandt-der-meister-von-palmyra.xml,Wilbrandt,Der Meister von Palmyra,1889,703,4888,6.9531,20043,35.0746,243.8757
wilbrandt-gracchus-der-volkstribun.xml,Wilbrandt,Gracchus der Volkstribun,1872,560,3659,6.5339,18533,30.2164,197.4316
wildenbruch-die-haubenlerche.xml,Wildenbruch,Die Haubenlerche,1891,839,6548,7.8045,23333,35.9577,280.6326
wildenbruch-die-karolinger.xml,Wildenbruch,Die Karolinger,1881,355,2174,6.1239,14574,24.3584,149.1698
wildenbruch-die-quitzows.xml,Wildenbruch,Die Quitzows,1888,762,5085,6.6732,23662,32.2035,214.9015
wildgans-armut.xml,Wildgans,Armut,1914,687,4433,6.4527,12502,54.9512,354.5833
wildgans-dies-irae.xml,Wildgans,Dies irae,1918,898,7632,8.4989,17266,52.0097,442.0248
wildgans-in-ewigkeit-amen.xml,Wildgans,In Ewigkeit Amen,1913,355,2156,6.0732,6931,51.2192,311.0662
wohlbrueck-der-vampyr.xml,Wohlbrück,Der Vampyr,,677,4289,6.3353,12048,56.1919,355.9927
wolf-cyankali.xml,Wolf,Cyankali,1929,549,3576,6.5137,11117,49.3838,321.6695
wolf-professor-mamlock.xml,Wolf,Professor Mamlock,1935,575,2871,4.993,13174,43.6466,217.9293
wolfram-faust.xml,Wolfram,Faust,1839,172,859,4.9942,32681,5.263,26.2844
zedlitz-cabinets-intriguen.xml,Zedlitz,Cabinets-Intriguen,1836,86,237,2.7558,13412,6.4122,17.6707
zedlitz-herr-und-sklave.xml,Zedlitz,Herr und Sklave,1835,40,220,5.5,3397,11.7751,64.763
zedlitz-liebe-findet-ihre-wege.xml,Zedlitz,Liebe findet ihre Wege,1827,214,770,3.5981,12361,17.3125,62.2927
zschokke-abellino.xml,Zschokke,Abellino,1795,491,2448,4.9857,25516,19.2428,95.9398
